 Imunizações - Cobertura - Brasil
Coberturas Vacinais por Ano e Imuno
Unidade da Federação: Rio de Janeiro
Imuno: 072 BCG
Período:1994-2019
"Ano";"072 BCG";"Total"
"1995";120,92;120,92
"1996";97,88;97,88
"1997";129,97;129,97
"1998";124,32;124,32
"1999";134,13;134,13
"2000";109,09;109,09
"2001";106,79;106,79
"2002";110,33;110,33
"2003";111,00;111,00
"2004";109,32;109,32
"2005";115,50;115,50
"2006";113,78;113,78
"2007";110,81;110,81
"2008";108,64;108,64
"2009";109,58;109,58
"2010";108,29;108,29
"2011";114,04;114,04
"2012";107,57;107,57
"2013";106,95;106,95
"2014";113,30;113,30
"2015";115,06;115,06
"2016";106,29;106,29
"2017";114,98;114,98
"2018";104,79;104,79
"2019";34,15;34,15
"Total";109,54;109,54
 Fonte: Programa Nacional de Imunizações
 Notas:
 
 
Data de atualização dos dados: 04/09/2019
 
 
Os dados apresentados em 2013 se referem à soma dos seguintes dados:

Até Junho de 2013: dados do API DOS
A partir de Julho de 2013: APIWEB + SIPNI Web  (exceção UFs: AC, CE, DF , GO , MS, MT, PA, PR, RJ, SE, MA e TO por digitação duplicada)
Base de dados do ano de 2013 foi encerrada em 23/03/2015.
Doses aplicadas durante o MRC (pneumo 10 e meningo C) e Multivacinação

 
2014:

Dados do ano de 2014 são parciais. Referem-se ao recebimento das informações do APIWEB + SIPNI até a data de 23/03/2015.

