 Imunizações - Cobertura - Brasil
Coberturas Vacinais por Ano e Imuno
Unidade da Federação: Roraima
Imuno: 072 BCG
Período:1994-2019
"Ano";"072 BCG";"Total"
"1994";99,64;99,64
"1995";129,05;129,05
"1996";126,51;126,51
"1997";129,41;129,41
"1998";122,06;122,06
"1999";137,46;137,46
"2000";187,41;187,41
"2001";104,68;104,68
"2002";116,91;116,91
"2003";105,42;105,42
"2004";97,50;97,50
"2005";107,16;107,16
"2006";115,45;115,45
"2007";103,53;103,53
"2008";95,06;95,06
"2009";101,81;101,81
"2010";113,21;113,21
"2011";115,06;115,06
"2012";118,08;118,08
"2013";94,17;94,17
"2014";103,97;103,97
"2015";110,55;110,55
"2016";107,95;107,95
"2017";116,86;116,86
"2018";136,35;136,35
"2019";73,98;73,98
"Total";113,28;113,28
 Fonte: Programa Nacional de Imunizações
 Notas:
 
 
Data de atualização dos dados: 04/09/2019
 
 
Os dados apresentados em 2013 se referem à soma dos seguintes dados:

Até Junho de 2013: dados do API DOS
A partir de Julho de 2013: APIWEB + SIPNI Web  (exceção UFs: AC, CE, DF , GO , MS, MT, PA, PR, RJ, SE, MA e TO por digitação duplicada)
Base de dados do ano de 2013 foi encerrada em 23/03/2015.
Doses aplicadas durante o MRC (pneumo 10 e meningo C) e Multivacinação

 
2014:

Dados do ano de 2014 são parciais. Referem-se ao recebimento das informações do APIWEB + SIPNI até a data de 23/03/2015.

