 Imunizações - Cobertura - Brasil
Coberturas Vacinais por Ano e Imuno
Unidade da Federação: São Paulo
Imuno: 072 BCG
Período:1994-2019
"Ano";"072 BCG";"Total"
"1995";110,55;110,55
"1996";111,18;111,18
"1997";132,00;132,00
"1998";131,59;131,59
"1999";128,76;128,76
"2000";110,70;110,70
"2001";111,03;111,03
"2002";108,99;108,99
"2003";108,87;108,87
"2004";109,14;109,14
"2005";106,30;106,30
"2006";104,46;104,46
"2007";101,67;101,67
"2008";104,30;104,30
"2009";102,51;102,51
"2010";101,55;101,55
"2011";103,72;103,72
"2012";104,01;104,01
"2013";103,65;103,65
"2014";103,46;103,46
"2015";102,20;102,20
"2016";94,33;94,33
"2017";100,51;100,51
"2018";99,08;99,08
"2019";50,70;50,70
"Total";105,87;105,87
 Fonte: Programa Nacional de Imunizações
 Notas:
 
 
Data de atualização dos dados: 04/09/2019
 
 
Os dados apresentados em 2013 se referem à soma dos seguintes dados:

Até Junho de 2013: dados do API DOS
A partir de Julho de 2013: APIWEB + SIPNI Web  (exceção UFs: AC, CE, DF , GO , MS, MT, PA, PR, RJ, SE, MA e TO por digitação duplicada)
Base de dados do ano de 2013 foi encerrada em 23/03/2015.
Doses aplicadas durante o MRC (pneumo 10 e meningo C) e Multivacinação

 
2014:

Dados do ano de 2014 são parciais. Referem-se ao recebimento das informações do APIWEB + SIPNI até a data de 23/03/2015.

