 Imunizações - Cobertura - Brasil
Coberturas Vacinais por Ano e Imuno
Região: 5 Região Centro-Oeste
Imuno: 072 BCG
Período:1994-2019
"Ano";"072 BCG";"Total"
"1994";64,92;64,92
"1995";86,15;86,15
"1996";109,52;109,52
"1997";120,80;120,80
"1998";117,64;117,64
"1999";118,69;118,69
"2000";116,04;116,04
"2001";115,75;115,75
"2002";113,88;113,88
"2003";110,88;110,88
"2004";114,02;114,02
"2005";111,93;111,93
"2006";112,89;112,89
"2007";114,00;114,00
"2008";112,53;112,53
"2009";111,74;111,74
"2010";110,61;110,61
"2011";110,17;110,17
"2012";108,99;108,99
"2013";116,86;116,86
"2014";116,90;116,90
"2015";105,44;105,44
"2016";104,13;104,13
"2017";96,37;96,37
"2018";97,85;97,85
"2019";58,67;58,67
"Total";107,05;107,05
 Fonte: Programa Nacional de Imunizações
 Notas:
 
 
Data de atualização dos dados: 04/09/2019
 
 
Os dados apresentados em 2013 se referem à soma dos seguintes dados:

Até Junho de 2013: dados do API DOS
A partir de Julho de 2013: APIWEB + SIPNI Web  (exceção UFs: AC, CE, DF , GO , MS, MT, PA, PR, RJ, SE, MA e TO por digitação duplicada)
Base de dados do ano de 2013 foi encerrada em 23/03/2015.
Doses aplicadas durante o MRC (pneumo 10 e meningo C) e Multivacinação

 
2014:

Dados do ano de 2014 são parciais. Referem-se ao recebimento das informações do APIWEB + SIPNI até a data de 23/03/2015.

