 Imunizações - Cobertura - Brasil
Coberturas Vacinais por Ano e Imuno
Região: 2 Região Nordeste
Imuno: 072 BCG
Período:1994-2019
"Ano";"072 BCG";"Total"
"1994";94,37;94,37
"1995";102,37;102,37
"1996";100,98;100,98
"1997";115,79;115,79
"1998";110,03;110,03
"1999";117,50;117,50
"2000";114,28;114,28
"2001";117,62;117,62
"2002";113,79;113,79
"2003";111,70;111,70
"2004";120,73;120,73
"2005";120,85;120,85
"2006";119,21;119,21
"2007";117,57;117,57
"2008";112,47;112,47
"2009";112,72;112,72
"2010";108,76;108,76
"2011";109,15;109,15
"2012";104,67;104,67
"2013";106,32;106,32
"2014";105,61;105,61
"2015";105,52;105,52
"2016";94,34;94,34
"2017";95,84;95,84
"2018";98,92;98,92
"2019";52,18;52,18
"Total";107,45;107,45
 Fonte: Programa Nacional de Imunizações
 Notas:
 
 
Data de atualização dos dados: 04/09/2019
 
 
Os dados apresentados em 2013 se referem à soma dos seguintes dados:

Até Junho de 2013: dados do API DOS
A partir de Julho de 2013: APIWEB + SIPNI Web  (exceção UFs: AC, CE, DF , GO , MS, MT, PA, PR, RJ, SE, MA e TO por digitação duplicada)
Base de dados do ano de 2013 foi encerrada em 23/03/2015.
Doses aplicadas durante o MRC (pneumo 10 e meningo C) e Multivacinação

 
2014:

Dados do ano de 2014 são parciais. Referem-se ao recebimento das informações do APIWEB + SIPNI até a data de 23/03/2015.

