 Imunizações - Cobertura - Brasil
Coberturas Vacinais por Ano e Imuno
Região: 1 Região Norte
Imuno: 072 BCG
Período:1994-2019
"Ano";"072 BCG";"Total"
"1994";74,03;74,03
"1995";102,35;102,35
"1996";107,61;107,61
"1997";114,40;114,40
"1998";99,02;99,02
"1999";109,17;109,17
"2000";111,66;111,66
"2001";119,05;119,05
"2002";119,11;119,11
"2003";115,16;115,16
"2004";120,65;120,65
"2005";132,45;132,45
"2006";130,46;130,46
"2007";127,23;127,23
"2008";120,07;120,07
"2009";120,59;120,59
"2010";117,45;117,45
"2011";115,70;115,70
"2012";113,64;113,64
"2013";113,18;113,18
"2014";114,13;114,13
"2015";103,72;103,72
"2016";92,05;92,05
"2017";92,07;92,07
"2018";93,03;93,03
"2019";54,50;54,50
"Total";109,01;109,01
 Fonte: Programa Nacional de Imunizações
 Notas:
 
 
Data de atualização dos dados: 04/09/2019
 
 
Os dados apresentados em 2013 se referem à soma dos seguintes dados:

Até Junho de 2013: dados do API DOS
A partir de Julho de 2013: APIWEB + SIPNI Web  (exceção UFs: AC, CE, DF , GO , MS, MT, PA, PR, RJ, SE, MA e TO por digitação duplicada)
Base de dados do ano de 2013 foi encerrada em 23/03/2015.
Doses aplicadas durante o MRC (pneumo 10 e meningo C) e Multivacinação

 
2014:

Dados do ano de 2014 são parciais. Referem-se ao recebimento das informações do APIWEB + SIPNI até a data de 23/03/2015.

