 Imunizações - Cobertura - Brasil
Coberturas Vacinais por Ano e Imuno
Região: 3 Região Sudeste
Imuno: 072 BCG
Período:1994-2019
"Ano";"072 BCG";"Total"
"1994";94,31;94,31
"1995";112,61;112,61
"1996";107,16;107,16
"1997";120,77;120,77
"1998";117,59;117,59
"1999";122,74;122,74
"2000";110,69;110,69
"2001";107,92;107,92
"2002";106,16;106,16
"2003";104,80;104,80
"2004";108,96;108,96
"2005";108,78;108,78
"2006";106,88;106,88
"2007";104,08;104,08
"2008";104,82;104,82
"2009";104,01;104,01
"2010";103,22;103,22
"2011";105,51;105,51
"2012";104,51;104,51
"2013";104,43;104,43
"2014";104,87;104,87
"2015";104,76;104,76
"2016";95,40;95,40
"2017";101,33;101,33
"2018";100,24;100,24
"2019";49,61;49,61
"Total";104,94;104,94
 Fonte: Programa Nacional de Imunizações
 Notas:
 
 
Data de atualização dos dados: 04/09/2019
 
 
Os dados apresentados em 2013 se referem à soma dos seguintes dados:

Até Junho de 2013: dados do API DOS
A partir de Julho de 2013: APIWEB + SIPNI Web  (exceção UFs: AC, CE, DF , GO , MS, MT, PA, PR, RJ, SE, MA e TO por digitação duplicada)
Base de dados do ano de 2013 foi encerrada em 23/03/2015.
Doses aplicadas durante o MRC (pneumo 10 e meningo C) e Multivacinação

 
2014:

Dados do ano de 2014 são parciais. Referem-se ao recebimento das informações do APIWEB + SIPNI até a data de 23/03/2015.

