 Imunizações - Cobertura - Brasil
Coberturas Vacinais por Ano e Imuno
Região: 4 Região Sul
Imuno: 072 BCG
Período:1994-2019
"Ano";"072 BCG";"Total"
"1994";112,64;112,64
"1995";96,43;96,43
"1996";100,73;100,73
"1997";110,19;110,19
"1998";104,64;104,64
"1999";106,92;106,92
"2000";106,88;106,88
"2001";107,61;107,61
"2002";104,75;104,75
"2003";104,26;104,26
"2004";103,51;103,51
"2005";103,65;103,65
"2006";102,79;102,79
"2007";101,46;101,46
"2008";101,02;101,02
"2009";101,73;101,73
"2010";101,09;101,09
"2011";104,63;104,63
"2012";103,02;103,02
"2013";108,52;108,52
"2014";106,92;106,92
"2015";106,00;106,00
"2016";96,07;96,07
"2017";91,76;91,76
"2018";91,65;91,65
"2019";59,45;59,45
"Total";101,20;101,20
 Fonte: Programa Nacional de Imunizações
 Notas:
 
 
Data de atualização dos dados: 04/09/2019
 
 
Os dados apresentados em 2013 se referem à soma dos seguintes dados:

Até Junho de 2013: dados do API DOS
A partir de Julho de 2013: APIWEB + SIPNI Web  (exceção UFs: AC, CE, DF , GO , MS, MT, PA, PR, RJ, SE, MA e TO por digitação duplicada)
Base de dados do ano de 2013 foi encerrada em 23/03/2015.
Doses aplicadas durante o MRC (pneumo 10 e meningo C) e Multivacinação

 
2014:

Dados do ano de 2014 são parciais. Referem-se ao recebimento das informações do APIWEB + SIPNI até a data de 23/03/2015.

