 Imunizações - Cobertura - Brasil
Coberturas Vacinais por Ano e Imuno
Unidade da Federação: São Paulo
Período:1994-2019
"Ano";"072 BCG";"099 Hepatite B  em crianças até 30 dias";"061 Rotavírus Humano";"053 Meningococo C";"073 Hepatite B";"080 Penta";"012 Pneumocócica";"074 Poliomielite";"100 Poliomielite 4 anos";"006 Febre Amarela";"096 Hepatite A";"091 Pneumocócica(1º ref)";"092 Meningococo C (1º ref)";"093 Poliomielite(1º ref)";"021 Tríplice Viral  D1";"098 Tríplice Viral  D2";"097 Tetra Viral(SRC+VZ)";"075 DTP";"102 DTP REF (4 e 6 anos)";"095 Tríplice Bacteriana(DTP)(1º ref)";"018 Sarampo";"009 Haemophilus influenzae b";"094 Dupla adulto e tríplice acelular gestante";"003 dTpa gestante";"Total"
"1995";110,55;...;...;...;-;...;...;97,00;...;-;...;...;...;...;...;...;...;99,83;...;...;97,71;-;...;...;57,87
"1996";111,18;...;...;...;-;...;...;101,36;...;-;...;...;...;...;...;...;...;96,03;...;...;95,20;-;...;...;57,68
"1997";132,00;...;...;...;-;...;...;106,69;...;-;...;...;...;...;...;...;...;98,02;...;...;134,43;-;...;...;67,31
"1998";131,59;...;...;...;2,79;...;...;114,70;...;5,25;...;...;...;...;...;...;...;119,79;...;...;124,72;1,03;...;...;71,41
"1999";128,76;...;-;...;112,32;...;...;112,18;...;11,98;...;...;...;...;...;...;...;110,42;...;...;115,24;1,37;...;...;89,26
"2000";110,70;...;-;...;97,24;...;...;102,35;...;8,55;...;...;...;...;105,38;...;...;100,35;...;...;108,05;115,43;...;...;83,12
"2001";111,03;...;-;...;96,00;...;...;103,34;...;7,36;...;...;...;...;105,13;...;...;101,77;...;...;107,04;101,43;...;...;81,68
"2002";108,99;...;-;...;93,82;...;...;95,89;...;8,70;...;...;...;...;105,13;...;...;33,08;...;...;100,37;33,01;...;...;64,40
"2003";108,87;...;-;...;98,29;...;...;98,31;...;10,08;...;...;...;...;119,88;...;...;0,73;...;...;3,35;2,58;...;...;49,28
"2004";109,14;...;...;-;95,86;...;...;98,19;...;10,17;...;...;...;...;104,30;...;...;99,67;...;...;...;...;...;...;80,62
"2005";106,30;...;...;-;97,17;...;...;96,74;...;10,50;...;...;...;...;102,04;...;...;97,95;...;...;...;...;...;...;80,37
"2006";104,46;...;56,19;-;97,07;...;...;99,93;...;11,50;...;...;...;...;101,19;...;...;98,58;...;...;...;...;...;...;77,80
"2007";101,67;...;86,54;-;96,10;...;...;98,67;...;11,82;...;...;...;...;100,23;...;...;97,53;...;...;...;...;...;...;81,64
"2008";104,30;...;86,87;-;95,05;...;...;96,60;...;13,43;...;...;...;...;96,68;...;...;95,12;...;...;...;...;...;...;81,28
"2009";102,51;...;89,57;-;97,76;...;...;99,10;...;17,18;...;...;...;...;99,13;...;...;97,20;...;...;...;...;...;...;83,88
"2010";101,55;...;89,24;10,79;95,63;...;42,00;96,60;...;19,21;...;...;...;...;94,91;...;...;95,80;...;...;...;...;...;...;71,86
"2011";103,72;...;93,95;122,05;99,28;...;86,63;100,30;...;20,45;...;...;...;...;100,34;...;...;98,65;...;...;...;...;...;...;91,71
"2012";104,01;...;91,56;98,72;97,44;23,96;89,55;96,44;...;20,45;...;...;...;...;99,54;...;...;94,72;...;...;...;...;...;...;81,64
"2013";103,65;-;97,51;102,17;104,37;97,23;95,81;98,95;...;20,45;-;96,22;100,95;97,18;103,37;75,71;37,63;100,16;...;92,97;...;...;47,48;2,41;73,80
"2014";103,46;91,83;93,85;97,36;99,58;95,46;100,63;95,73;...;19,56;67,84;91,50;94,83;88,91;105,02;95,89;98,07;96,84;0,90;89,23;...;...;42,80;12,38;78,19
"2015";102,20;92,51;97,00;98,62;100,68;98,36;99,93;99,68;...;19,70;102,42;92,71;94,42;90,27;97,91;92,43;94,64;99,76;...;91,84;...;...;59,91;61,09;89,37
"2016";94,33;89,81;90,32;90,42;110,04;88,48;93,58;83,84;...;18,63;63,43;86,84;80,76;77,72;92,96;77,73;80,97;88,94;2,38;59,59;...;...;24,23;26,42;70,24
"2017";100,51;91,37;90,16;89,28;89,43;86,67;95,24;87,21;0,94;23,46;80,29;78,32;81,35;81,56;91,26;87,14;21,48;87,33;2,38;76,84;...;...;28,59;35,90;76,48
"2018";99,08;88,32;91,10;87,87;98,61;90,11;94,34;91,10;0,83;58,83;83,05;80,16;80,43;74,56;90,38;81,41;36,80;90,45;1,86;68,08;...;...;41,16;54,68;81,25
"2019";50,70;47,15;53,12;54,07;59,56;49,04;54,44;52,48;0,13;45,08;53,77;51,79;57,29;48,55;60,19;51,69;24,28;49,14;1,00;37,75;...;...;27,16;35,86;50,95
"Total";105,87;71,69;62,77;72,57;80,97;78,84;85,33;96,95;0,65;15,52;64,42;82,52;84,28;79,84;104,99;80,31;56,33;89,96;2,08;73,74;98,54;29,24;38,70;32,58;74,61
 Fonte: Programa Nacional de Imunizações
 Notas:
 
 
Data de atualização dos dados: 04/09/2019
 
 
Os dados apresentados em 2013 se referem à soma dos seguintes dados:

Até Junho de 2013: dados do API DOS
A partir de Julho de 2013: APIWEB + SIPNI Web  (exceção UFs: AC, CE, DF , GO , MS, MT, PA, PR, RJ, SE, MA e TO por digitação duplicada)
Base de dados do ano de 2013 foi encerrada em 23/03/2015.
Doses aplicadas durante o MRC (pneumo 10 e meningo C) e Multivacinação

 
2014:

Dados do ano de 2014 são parciais. Referem-se ao recebimento das informações do APIWEB + SIPNI até a data de 23/03/2015.

