True,ano,local,cobertura_vacinal
0,1995,Sudeste,112.61
1,1996,Sudeste,107.16
2,1997,Sudeste,120.77
3,1998,Sudeste,117.59
4,1999,Sudeste,122.74
5,2000,Sudeste,110.69
6,2001,Sudeste,107.92
7,2002,Sudeste,106.16
8,2003,Sudeste,104.8
9,2004,Sudeste,108.96
10,2005,Sudeste,108.78
11,2006,Sudeste,106.88
12,2007,Sudeste,104.08
13,2008,Sudeste,104.82
14,2009,Sudeste,104.01
15,2010,Sudeste,103.22
16,2011,Sudeste,105.51
17,2012,Sudeste,104.51
18,2013,Sudeste,104.43
19,2014,Sudeste,104.87
20,2015,Sudeste,104.76
21,2016,Sudeste,95.4
22,2017,Sudeste,101.33
23,2018,Sudeste,100.24
24,1995,Norte,102.35
25,1996,Norte,107.61
26,1997,Norte,114.4
27,1998,Norte,99.02
28,1999,Norte,109.17
29,2000,Norte,111.66
30,2001,Norte,119.05
31,2002,Norte,119.11
32,2003,Norte,115.16
33,2004,Norte,120.65
34,2005,Norte,132.45
35,2006,Norte,130.46
36,2007,Norte,127.23
37,2008,Norte,120.07
38,2009,Norte,120.59
39,2010,Norte,117.45
40,2011,Norte,115.7
41,2012,Norte,113.64
42,2013,Norte,113.18
43,2014,Norte,114.13
44,2015,Norte,103.72
45,2016,Norte,92.05
46,2017,Norte,92.07
47,2018,Norte,93.03
48,1995,Nordeste,102.37
49,1996,Nordeste,100.98
50,1997,Nordeste,115.79
51,1998,Nordeste,110.03
52,1999,Nordeste,117.5
53,2000,Nordeste,114.28
54,2001,Nordeste,117.62
55,2002,Nordeste,113.79
56,2003,Nordeste,111.7
57,2004,Nordeste,120.73
58,2005,Nordeste,120.85
59,2006,Nordeste,119.21
60,2007,Nordeste,117.57
61,2008,Nordeste,112.47
62,2009,Nordeste,112.72
63,2010,Nordeste,108.76
64,2011,Nordeste,109.15
65,2012,Nordeste,104.67
66,2013,Nordeste,106.32
67,2014,Nordeste,105.61
68,2015,Nordeste,105.52
69,2016,Nordeste,94.34
70,2017,Nordeste,95.84
71,2018,Nordeste,98.92
72,1995,Centro-Oeste,86.15
73,1996,Centro-Oeste,109.52
74,1997,Centro-Oeste,120.8
75,1998,Centro-Oeste,117.64
76,1999,Centro-Oeste,118.69
77,2000,Centro-Oeste,116.04
78,2001,Centro-Oeste,115.75
79,2002,Centro-Oeste,113.88
80,2003,Centro-Oeste,110.88
81,2004,Centro-Oeste,114.02
82,2005,Centro-Oeste,111.93
83,2006,Centro-Oeste,112.89
84,2007,Centro-Oeste,114.0
85,2008,Centro-Oeste,112.53
86,2009,Centro-Oeste,111.74
87,2010,Centro-Oeste,110.61
88,2011,Centro-Oeste,110.17
89,2012,Centro-Oeste,108.99
90,2013,Centro-Oeste,116.86
91,2014,Centro-Oeste,116.9
92,2015,Centro-Oeste,105.44
93,2016,Centro-Oeste,104.13
94,2017,Centro-Oeste,96.37
95,2018,Centro-Oeste,97.85
96,1995,Sul,96.43
97,1996,Sul,100.73
98,1997,Sul,110.19
99,1998,Sul,104.64
100,1999,Sul,106.92
101,2000,Sul,106.88
102,2001,Sul,107.61
103,2002,Sul,104.75
104,2003,Sul,104.26
105,2004,Sul,103.51
106,2005,Sul,103.65
107,2006,Sul,102.79
108,2007,Sul,101.46
109,2008,Sul,101.02
110,2009,Sul,101.73
111,2010,Sul,101.09
112,2011,Sul,104.63
113,2012,Sul,103.02
114,2013,Sul,108.52
115,2014,Sul,106.92
116,2015,Sul,106.0
117,2016,Sul,96.07
118,2017,Sul,91.76
119,2018,Sul,91.65
120,1995,RJ,120.92
121,1996,RJ,97.88
122,1997,RJ,129.97
123,1998,RJ,124.32
124,1999,RJ,134.13
125,2000,RJ,109.09
126,2001,RJ,106.79
127,2002,RJ,110.33
128,2003,RJ,111.0
129,2004,RJ,109.32
130,2005,RJ,115.5
131,2006,RJ,113.78
132,2007,RJ,110.81
133,2008,RJ,108.64
134,2009,RJ,109.58
135,2010,RJ,108.29
136,2011,RJ,114.04
137,2012,RJ,107.57
138,2013,RJ,106.95
139,2014,RJ,113.3
140,2015,RJ,115.06
141,2016,RJ,106.29
142,2017,RJ,114.98
143,2018,RJ,104.79
