year,areakm,municipality,geocode_ibge,state
2008,23.563862363669887,ACRELANDIA,1200013,ACRE
2009,12.875720278278633,ACRELANDIA,1200013,ACRE
2010,11.351328664203672,ACRELANDIA,1200013,ACRE
2011,15.85184774699855,ACRELANDIA,1200013,ACRE
2012,4.164717491087027,ACRELANDIA,1200013,ACRE
2013,9.453095500930777,ACRELANDIA,1200013,ACRE
2014,18.78035426855157,ACRELANDIA,1200013,ACRE
2015,14.720491822083941,ACRELANDIA,1200013,ACRE
2016,23.505549894081994,ACRELANDIA,1200013,ACRE
2017,5.744165289903639,ACRELANDIA,1200013,ACRE
2018,22.732537873659915,ACRELANDIA,1200013,ACRE
2019,19.74539537648074,ACRELANDIA,1200013,ACRE
2019,0,ACRELANDIA,1200013,ACRE
2020,12.939416008783587,ACRELANDIA,1200013,ACRE
2008,3.46332279293932,ASSIS BRASIL,1200054,ACRE
2009,1.6067596112187013,ASSIS BRASIL,1200054,ACRE
2010,3.764109082900924,ASSIS BRASIL,1200054,ACRE
2011,2.820562093085884,ASSIS BRASIL,1200054,ACRE
2012,2.398749545105282,ASSIS BRASIL,1200054,ACRE
2013,4.828399262542489,ASSIS BRASIL,1200054,ACRE
2014,7.552934311580239,ASSIS BRASIL,1200054,ACRE
2015,5.930497906111582,ASSIS BRASIL,1200054,ACRE
2016,2.8890008721048583,ASSIS BRASIL,1200054,ACRE
2017,6.3890408786555435,ASSIS BRASIL,1200054,ACRE
2018,8.552675145691401,ASSIS BRASIL,1200054,ACRE
2019,21.198482274826937,ASSIS BRASIL,1200054,ACRE
2020,18.202157950045237,ASSIS BRASIL,1200054,ACRE
2008,12.590545102274255,BRASILEIA,1200104,ACRE
2009,8.19967431906362,BRASILEIA,1200104,ACRE
2010,11.953263964082378,BRASILEIA,1200104,ACRE
2011,14.500066575665974,BRASILEIA,1200104,ACRE
2012,12.88793589968304,BRASILEIA,1200104,ACRE
2013,17.09463659712301,BRASILEIA,1200104,ACRE
2014,33.34103512742081,BRASILEIA,1200104,ACRE
2015,22.057428630009767,BRASILEIA,1200104,ACRE
2016,17.666370084043514,BRASILEIA,1200104,ACRE
2017,23.121476027222485,BRASILEIA,1200104,ACRE
2018,22.92265778988618,BRASILEIA,1200104,ACRE
2019,58.49374126288372,BRASILEIA,1200104,ACRE
2020,40.09695574249692,BRASILEIA,1200104,ACRE
2008,15.721693856307,BUJARI,1200138,ACRE
2009,7.792112091304611,BUJARI,1200138,ACRE
2010,8.304058432552141,BUJARI,1200138,ACRE
2011,10.080889013371328,BUJARI,1200138,ACRE
2012,10.08874369277674,BUJARI,1200138,ACRE
2013,0,BUJARI,1200138,ACRE
2013,8.42352376867461,BUJARI,1200138,ACRE
2014,9.160373061109496,BUJARI,1200138,ACRE
2015,0,BUJARI,1200138,ACRE
2015,9.312547381794149,BUJARI,1200138,ACRE
2016,17.208137646467147,BUJARI,1200138,ACRE
2017,0,BUJARI,1200138,ACRE
2017,7.604001130639333,BUJARI,1200138,ACRE
2018,0,BUJARI,1200138,ACRE
2018,14.987182138312097,BUJARI,1200138,ACRE
2019,0,BUJARI,1200138,ACRE
2019,26.150762160017564,BUJARI,1200138,ACRE
2020,0,BUJARI,1200138,ACRE
2020,17.711710202425486,BUJARI,1200138,ACRE
2008,8.769779214830157,CAPIXABA,1200179,ACRE
2009,3.787125950543457,CAPIXABA,1200179,ACRE
2010,3.772137874440629,CAPIXABA,1200179,ACRE
2011,9.455222453936729,CAPIXABA,1200179,ACRE
2012,15.0805747593335,CAPIXABA,1200179,ACRE
2013,5.73211138139876,CAPIXABA,1200179,ACRE
2014,9.521632820129238,CAPIXABA,1200179,ACRE
2015,6.0823872985709855,CAPIXABA,1200179,ACRE
2016,16.346661507390017,CAPIXABA,1200179,ACRE
2017,11.343146290225247,CAPIXABA,1200179,ACRE
2018,11.403924850472281,CAPIXABA,1200179,ACRE
2019,27.53062185383675,CAPIXABA,1200179,ACRE
2020,18.80060390861844,CAPIXABA,1200179,ACRE
2008,10.249259815037387,CRUZEIRO DO SUL,1200203,ACRE
2009,3.774641975105237,CRUZEIRO DO SUL,1200203,ACRE
2010,21.890113481141274,CRUZEIRO DO SUL,1200203,ACRE
2011,12.250309391780803,CRUZEIRO DO SUL,1200203,ACRE
2012,9.4480349679756,CRUZEIRO DO SUL,1200203,ACRE
2013,5.399278170609609,CRUZEIRO DO SUL,1200203,ACRE
2014,9.314395357957165,CRUZEIRO DO SUL,1200203,ACRE
2015,3.2084660484011382,CRUZEIRO DO SUL,1200203,ACRE
2016,9.084953655699778,CRUZEIRO DO SUL,1200203,ACRE
2017,9.305601528939361,CRUZEIRO DO SUL,1200203,ACRE
2018,17.381637925447325,CRUZEIRO DO SUL,1200203,ACRE
2019,24.79898705507404,CRUZEIRO DO SUL,1200203,ACRE
2020,41.381476297179844,CRUZEIRO DO SUL,1200203,ACRE
2008,4.548747651512556,EPITACIOLANDIA,1200252,ACRE
2009,4.169337035271811,EPITACIOLANDIA,1200252,ACRE
2010,3.736839532183321,EPITACIOLANDIA,1200252,ACRE
2011,7.086727603160415,EPITACIOLANDIA,1200252,ACRE
2012,12.329957981768578,EPITACIOLANDIA,1200252,ACRE
2013,6.413501101908514,EPITACIOLANDIA,1200252,ACRE
2014,8.860808425434438,EPITACIOLANDIA,1200252,ACRE
2015,9.748154597918408,EPITACIOLANDIA,1200252,ACRE
2016,7.183802746983634,EPITACIOLANDIA,1200252,ACRE
2017,5.582177781693099,EPITACIOLANDIA,1200252,ACRE
2018,8.495614095417539,EPITACIOLANDIA,1200252,ACRE
2019,11.237502943198363,EPITACIOLANDIA,1200252,ACRE
2020,8.453252959035055,EPITACIOLANDIA,1200252,ACRE
2008,27.09620875123277,FEIJO,1200302,ACRE
2009,19.89289769542655,FEIJO,1200302,ACRE
2010,22.61421845500012,FEIJO,1200302,ACRE
2011,23.29551075201547,FEIJO,1200302,ACRE
2012,30.77973234503846,FEIJO,1200302,ACRE
2013,23.8941357028729,FEIJO,1200302,ACRE
2014,37.1669082467742,FEIJO,1200302,ACRE
2015,10.840869528535924,FEIJO,1200302,ACRE
2016,38.71911237099201,FEIJO,1200302,ACRE
2017,27.059092250332977,FEIJO,1200302,ACRE
2018,80.24570962666996,FEIJO,1200302,ACRE
2018,0,FEIJO,1200302,ACRE
2019,94.43184579186965,FEIJO,1200302,ACRE
2020,100.4128258377162,FEIJO,1200302,ACRE
2008,7.252026716723111,JORDAO,1200328,ACRE
2009,1.9152320535749636,JORDAO,1200328,ACRE
2010,6.811658933632015,JORDAO,1200328,ACRE
2011,5.982980669998126,JORDAO,1200328,ACRE
2012,7.086987385705536,JORDAO,1200328,ACRE
2013,2.1991490800486293,JORDAO,1200328,ACRE
2014,6.91770989114915,JORDAO,1200328,ACRE
2015,0.9276286855130806,JORDAO,1200328,ACRE
2016,2.129266898217432,JORDAO,1200328,ACRE
2017,2.486291737433867,JORDAO,1200328,ACRE
2018,6.758452844858868,JORDAO,1200328,ACRE
2019,11.061377315498415,JORDAO,1200328,ACRE
2020,11.642401050796376,JORDAO,1200328,ACRE
2008,4.307494259833747,MANCIO LIMA,1200336,ACRE
2009,1.2999798474841275,MANCIO LIMA,1200336,ACRE
2010,4.652817851457548,MANCIO LIMA,1200336,ACRE
2011,11.621302084236849,MANCIO LIMA,1200336,ACRE
2012,3.3454665267813386,MANCIO LIMA,1200336,ACRE
2013,2.606183830776783,MANCIO LIMA,1200336,ACRE
2014,2.9644982084560723,MANCIO LIMA,1200336,ACRE
2015,2.347385084048752,MANCIO LIMA,1200336,ACRE
2016,2.987158172219335,MANCIO LIMA,1200336,ACRE
2017,1.8275949893427037,MANCIO LIMA,1200336,ACRE
2018,3.8154554598628487,MANCIO LIMA,1200336,ACRE
2019,12.13699113255018,MANCIO LIMA,1200336,ACRE
2020,6.628050356259218,MANCIO LIMA,1200336,ACRE
2008,4.834156278441638,MANOEL URBANO,1200344,ACRE
2009,4.913289974798374,MANOEL URBANO,1200344,ACRE
2010,8.123448413111367,MANOEL URBANO,1200344,ACRE
2011,8.008261233316318,MANOEL URBANO,1200344,ACRE
2012,13.606053656034593,MANOEL URBANO,1200344,ACRE
2013,16.01484882306883,MANOEL URBANO,1200344,ACRE
2014,18.337765283844984,MANOEL URBANO,1200344,ACRE
2015,18.930904085074577,MANOEL URBANO,1200344,ACRE
2016,26.562576040358657,MANOEL URBANO,1200344,ACRE
2017,16.871019623484088,MANOEL URBANO,1200344,ACRE
2018,47.250224223636536,MANOEL URBANO,1200344,ACRE
2019,31.14199964180847,MANOEL URBANO,1200344,ACRE
2019,0,MANOEL URBANO,1200344,ACRE
2020,53.40291854730766,MANOEL URBANO,1200344,ACRE
2008,11.838390959746894,MARECHAL THAUMATURGO,1200351,ACRE
2009,0.06074754334696873,MARECHAL THAUMATURGO,1200351,ACRE
2010,21.97486778196338,MARECHAL THAUMATURGO,1200351,ACRE
2011,10.84942129390372,MARECHAL THAUMATURGO,1200351,ACRE
2012,3.672968246434143,MARECHAL THAUMATURGO,1200351,ACRE
2013,2.141935266790653,MARECHAL THAUMATURGO,1200351,ACRE
2014,8.825029008180595,MARECHAL THAUMATURGO,1200351,ACRE
2015,0.46499821408350084,MARECHAL THAUMATURGO,1200351,ACRE
2016,2.5277055980219623,MARECHAL THAUMATURGO,1200351,ACRE
2017,2.586283743413889,MARECHAL THAUMATURGO,1200351,ACRE
2018,4.048265520824206,MARECHAL THAUMATURGO,1200351,ACRE
2019,13.620834791037575,MARECHAL THAUMATURGO,1200351,ACRE
2020,28.65282107828177,MARECHAL THAUMATURGO,1200351,ACRE
2008,3.252363964541119,PLACIDO DE CASTRO,1200385,ACRE
2009,10.45982306347894,PLACIDO DE CASTRO,1200385,ACRE
2010,5.667094470808162,PLACIDO DE CASTRO,1200385,ACRE
2011,7.0077874210249975,PLACIDO DE CASTRO,1200385,ACRE
2012,3.8865724515179565,PLACIDO DE CASTRO,1200385,ACRE
2013,4.882421646925604,PLACIDO DE CASTRO,1200385,ACRE
2014,7.444832020847826,PLACIDO DE CASTRO,1200385,ACRE
2015,5.2096668404411215,PLACIDO DE CASTRO,1200385,ACRE
2016,8.106215548691683,PLACIDO DE CASTRO,1200385,ACRE
2017,5.00129234721106,PLACIDO DE CASTRO,1200385,ACRE
2018,12.411574465911109,PLACIDO DE CASTRO,1200385,ACRE
2019,9.068258401529219,PLACIDO DE CASTRO,1200385,ACRE
2020,8.275208437623968,PLACIDO DE CASTRO,1200385,ACRE
2008,8.207962581203162,PORTO ACRE,1200807,ACRE
2009,6.228830323095476,PORTO ACRE,1200807,ACRE
2010,0,PORTO ACRE,1200807,ACRE
2010,11.964908959010863,PORTO ACRE,1200807,ACRE
2011,0,PORTO ACRE,1200807,ACRE
2011,15.78143346615207,PORTO ACRE,1200807,ACRE
2012,0,PORTO ACRE,1200807,ACRE
2012,12.876009062486304,PORTO ACRE,1200807,ACRE
2013,3.7641504403124295,PORTO ACRE,1200807,ACRE
2014,0,PORTO ACRE,1200807,ACRE
2014,10.259847878702098,PORTO ACRE,1200807,ACRE
2015,0,PORTO ACRE,1200807,ACRE
2015,7.88747450677974,PORTO ACRE,1200807,ACRE
2016,0,PORTO ACRE,1200807,ACRE
2016,15.171634993726794,PORTO ACRE,1200807,ACRE
2017,0,PORTO ACRE,1200807,ACRE
2017,8.791644991819766,PORTO ACRE,1200807,ACRE
2018,0,PORTO ACRE,1200807,ACRE
2018,13.628933861349685,PORTO ACRE,1200807,ACRE
2019,0,PORTO ACRE,1200807,ACRE
2019,23.054016712355697,PORTO ACRE,1200807,ACRE
2020,0,PORTO ACRE,1200807,ACRE
2020,19.417085380840263,PORTO ACRE,1200807,ACRE
2008,6.648640672928153,PORTO WALTER,1200393,ACRE
2009,0.9804127626529819,PORTO WALTER,1200393,ACRE
2010,13.16527737546118,PORTO WALTER,1200393,ACRE
2011,10.43955536135305,PORTO WALTER,1200393,ACRE
2012,5.666977529730372,PORTO WALTER,1200393,ACRE
2013,1.5310829366848857,PORTO WALTER,1200393,ACRE
2014,9.052161898244664,PORTO WALTER,1200393,ACRE
2015,1.4670568317695447,PORTO WALTER,1200393,ACRE
2016,4.294898992478769,PORTO WALTER,1200393,ACRE
2017,3.122355795001796,PORTO WALTER,1200393,ACRE
2018,4.735784515904972,PORTO WALTER,1200393,ACRE
2019,8.716956412158261,PORTO WALTER,1200393,ACRE
2020,23.476794017803638,PORTO WALTER,1200393,ACRE
2008,28.827780373086426,RIO BRANCO,1200401,ACRE
2009,18.429944178156916,RIO BRANCO,1200401,ACRE
2010,19.799181627172832,RIO BRANCO,1200401,ACRE
2011,41.72578250450753,RIO BRANCO,1200401,ACRE
2012,27.656171461026062,RIO BRANCO,1200401,ACRE
2013,19.4587502076213,RIO BRANCO,1200401,ACRE
2014,32.65184325478464,RIO BRANCO,1200401,ACRE
2015,30.24013768069866,RIO BRANCO,1200401,ACRE
2016,52.05872410429484,RIO BRANCO,1200401,ACRE
2017,25.780311901082385,RIO BRANCO,1200401,ACRE
2018,35.917571010669405,RIO BRANCO,1200401,ACRE
2019,80.01631145018852,RIO BRANCO,1200401,ACRE
2020,55.49688076591982,RIO BRANCO,1200401,ACRE
2008,5.679923406171726,RODRIGUES ALVES,1200427,ACRE
2009,3.0349272367997857,RODRIGUES ALVES,1200427,ACRE
2010,10.836643013792184,RODRIGUES ALVES,1200427,ACRE
2011,5.37698585938777,RODRIGUES ALVES,1200427,ACRE
2012,4.575129768630901,RODRIGUES ALVES,1200427,ACRE
2013,3.914965401151842,RODRIGUES ALVES,1200427,ACRE
2014,2.721672481320737,RODRIGUES ALVES,1200427,ACRE
